DATE,PERIODO,MES,TIPO,ENTIDAD,MONEDA,INGRESOS FINANCIEROS,INGRESOS SERVICIOS FINANCIEROS,INGRESO,RESULTADO NETO,NUM_ENTIDADES,HHI
200201,2002,Enero,Cajas Rurales,CRAC La Libertad,MN,827.092,43.688,870.78,188.126,14,1198.554291424914
200201,2002,Enero,Cajas Rurales,CRAC La Libertad,ME,368.161,6.465,374.626,86.249,14,1198.554291424914
200201,2002,Enero,Cajas Rurales,CRAC La Libertad,TOTAL,1195.253,50.153,1245.406,274.375,14,1198.554291424914
200203,2002,Marzo,Cajas Rurales,CRAC Nor Peru,MN,1935.358,113.506,2048.864,635.105,14,1198.554291424914
200203,2002,Marzo,Cajas Rurales,CRAC Nor Peru,ME,1291.889,19.408,1311.2969999999998,-161.892,14,1198.554291424914
200203,2002,Marzo,Cajas Rurales,CRAC Nor Peru,TOTAL,3227.247,132.914,3360.161,473.213,14,1198.554291424914
200204,2002,Abril,Empresas Crediticias,TOTAL ENTIDADES DE DESARROLLO DE LA PEQUEÑA Y MICRO EMPRESA,MN,17008.231,170.248,17178.479,-153.566,15,1684.8233357494037
200204,2002,Abril,Empresas Crediticias,TOTAL ENTIDADES DE DESARROLLO DE LA PEQUEÑA Y MICRO EMPRESA,ME,6025.374,33.116,6058.49,2648.347,15,1684.8233357494037
200204,2002,Abril,Empresas Crediticias,TOTAL ENTIDADES DE DESARROLLO DE LA PEQUEÑA Y MICRO EMPRESA,TOTAL,23033.605,203.364,23236.969,2494.781,15,1684.8233357494037
200207,2002,Julio,Empresas Crediticias,Solidaridad,MN,705.103,46.42,751.5229999999999,27.77,15,1684.8233357494037
200207,2002,Julio,Empresas Crediticias,Solidaridad,ME,145.804,5.583,151.387,81.295,15,1684.8233357494037
200211,2002,Noviembre,Banca Multiple,Banco Sudamericano del Perú,MN,29261.0,6288.0,35549.0,-74142.0,16,1465.0049079331504
200211,2002,Noviembre,Banca Multiple,Banco Sudamericano del Perú,ME,143542.0,22730.0,166272.0,78263.0,16,1465.0049079331504
200211,2002,Noviembre,Banca Multiple,Banco Sudamericano del Perú,TOTAL,172803.0,29018.0,201821.0,4121.0,16,1465.0049079331504
200212,2002,Diciembre,Banca Multiple,Banco Continental,MN,294864.0,126526.0,421390.0,-118769.0,16,1465.0049079331504
