DATE,PERIODO,MES,TC
200201,2002,Enero,
200202,2002,Febrero,
200203,2002,Marzo,
200204,2002,Abril,
200205,2002,Mayo,
200206,2002,Junio,
200207,2002,Julio,
200208,2002,Agosto,
200209,2002,Septiembre,
200210,2002,Octubre,
200211,2002,Noviembre,
200212,2002,Diciembre,
200301,2003,Enero,
200302,2003,Febrero,
200303,2003,Marzo,
200304,2003,Abril,
200305,2003,Mayo,
200306,2003,Junio,
200307,2003,Julio,
200308,2003,Agosto,
200309,2003,Septiembre,
200310,2003,Octubre,
200311,2003,Noviembre,
200312,2003,Diciembre,
200401,2004,Enero,
200402,2004,Febrero,
200403,2004,Marzo,
200404,2004,Abril,
200405,2004,Mayo,
200406,2004,Junio,
200407,2004,Julio,
200408,2004,Agosto,
200409,2004,Septiembre,
200410,2004,Octubre,
200411,2004,Noviembre,
200412,2004,Diciembre,
200501,2005,Enero,
200502,2005,Febrero,
200503,2005,Marzo,
200504,2005,Abril,
200505,2005,Mayo,
200506,2005,Junio,
200507,2005,Julio,
200508,2005,Agosto,
200509,2005,Septiembre,
200510,2005,Octubre,
200511,2005,Noviembre,
200512,2005,Diciembre,
200601,2006,Enero,
200602,2006,Febrero,
200603,2006,Marzo,
200604,2006,Abril,
200605,2006,Mayo,
200606,2006,Junio,
200607,2006,Julio,
200608,2006,Agosto,
200609,2006,Septiembre,
200610,2006,Octubre,
200611,2006,Noviembre,
200612,2006,Diciembre,
200701,2007,Enero,
200702,2007,Febrero,
200703,2007,Marzo,
200704,2007,Abril,
200705,2007,Mayo,
200706,2007,Junio,
200707,2007,Julio,
200708,2007,Agosto,
200709,2007,Septiembre,
200710,2007,Octubre,
200711,2007,Noviembre,
200712,2007,Diciembre,
200801,2008,Enero,
200802,2008,Febrero,
200803,2008,Marzo,
200804,2008,Abril,
200805,2008,Mayo,
200806,2008,Junio,
200807,2008,Julio,
200808,2008,Agosto,
200809,2008,Septiembre,
200810,2008,Octubre,
200811,2008,Noviembre,
200812,2008,Diciembre,
200901,2009,Enero,
200902,2009,Febrero,
200903,2009,Marzo,
200904,2009,Abril,
200905,2009,Mayo,
200906,2009,Junio,
200907,2009,Julio,
200908,2009,Agosto,
200909,2009,Septiembre,
200910,2009,Octubre,
200911,2009,Noviembre,
200912,2009,Diciembre,
201001,2010,Enero,
201002,2010,Febrero,
201003,2010,Marzo,
201004,2010,Abril,
201005,2010,Mayo,
201006,2010,Junio,
201007,2010,Julio,
201008,2010,Agosto,
201009,2010,Septiembre,
201010,2010,Octubre,
201011,2010,Noviembre,
201012,2010,Diciembre,
201101,2011,Enero,
201102,2011,Febrero,
201103,2011,Marzo,
201104,2011,Abril,
201105,2011,Mayo,
201106,2011,Junio,
201107,2011,Julio,
201108,2011,Agosto,
201109,2011,Septiembre,
201110,2011,Octubre,
201111,2011,Noviembre,
201112,2011,Diciembre,
201201,2012,Enero,
201202,2012,Febrero,
201203,2012,Marzo,
201204,2012,Abril,
201205,2012,Mayo,
201206,2012,Junio,
201207,2012,Julio,
201208,2012,Agosto,
201209,2012,Septiembre,
201210,2012,Octubre,
201211,2012,Noviembre,
201212,2012,Diciembre,
201301,2013,Enero,
201302,2013,Febrero,
201303,2013,Marzo,
201304,2013,Abril,
201305,2013,Mayo,
201306,2013,Junio,
201307,2013,Julio,
201308,2013,Agosto,
201309,2013,Septiembre,
201310,2013,Octubre,
201311,2013,Noviembre,
201312,2013,Diciembre,
201401,2014,Enero,
201402,2014,Febrero,
201403,2014,Marzo,
201404,2014,Abril,
201405,2014,Mayo,
201406,2014,Junio,
201407,2014,Julio,
201408,2014,Agosto,
201409,2014,Septiembre,
201410,2014,Octubre,
201411,2014,Noviembre,
201412,2014,Diciembre,
201501,2015,Enero,
201502,2015,Febrero,
201503,2015,Marzo,
201504,2015,Abril,
201505,2015,Mayo,
201506,2015,Junio,
201507,2015,Julio,
201508,2015,Agosto,
201509,2015,Septiembre,
201510,2015,Octubre,
201511,2015,Noviembre,
201512,2015,Diciembre,
201601,2016,Enero,
201602,2016,Febrero,
201603,2016,Marzo,
201604,2016,Abril,
201605,2016,Mayo,
201606,2016,Junio,
201607,2016,Julio,
201608,2016,Agosto,
201609,2016,Septiembre,
201610,2016,Octubre,
201611,2016,Noviembre,
201612,2016,Diciembre,
201701,2017,Enero,
201702,2017,Febrero,
201703,2017,Marzo,
201704,2017,Abril,
201705,2017,Mayo,
201706,2017,Junio,
201707,2017,Julio,
201708,2017,Agosto,
201709,2017,Septiembre,
201710,2017,Octubre,
201711,2017,Noviembre,
201712,2017,Diciembre,
201801,2018,Enero,
201802,2018,Febrero,
201803,2018,Marzo,
201804,2018,Abril,
201805,2018,Mayo,
201806,2018,Junio,
201807,2018,Julio,
201808,2018,Agosto,
201809,2018,Septiembre,
201810,2018,Octubre,
201811,2018,Noviembre,
201812,2018,Diciembre,
201901,2019,Enero,
201902,2019,Febrero,
201903,2019,Marzo,
201904,2019,Abril,
201905,2019,Mayo,
201906,2019,Junio,
201907,2019,Julio,
201908,2019,Agosto,
201909,2019,Septiembre,
201910,2019,Octubre,
201911,2019,Noviembre,
201912,2019,Diciembre,
202001,2020,Enero,
202002,2020,Febrero,
202003,2020,Marzo,
202004,2020,Abril,
202005,2020,Mayo,
202006,2020,Junio,
202007,2020,Julio,
202008,2020,Agosto,
202009,2020,Septiembre,
202010,2020,Octubre,
202011,2020,Noviembre,
202012,2020,Diciembre,
202101,2021,Enero,
202102,2021,Febrero,
202103,2021,Marzo,
202104,2021,Abril,
202105,2021,Mayo,
202106,2021,Junio,
202107,2021,Julio,
202108,2021,Agosto,
202109,2021,Septiembre,
202110,2021,Octubre,
202111,2021,Noviembre,
202112,2021,Diciembre,
202201,2022,Enero,
202202,2022,Febrero,
202203,2022,Marzo,
202204,2022,Abril,
202205,2022,Mayo,
202206,2022,Junio,
202207,2022,Julio,
202208,2022,Agosto,
202209,2022,Septiembre,
202210,2022,Octubre,
202211,2022,Noviembre,
202212,2022,Diciembre,
202301,2023,Enero,
202302,2023,Febrero,
202303,2023,Marzo,
202304,2023,Abril,
202305,2023,Mayo,
202306,2023,Junio,
202307,2023,Julio,
202308,2023,Agosto,
202309,2023,Septiembre,
202310,2023,Octubre,
202311,2023,Noviembre,
202312,2023,Diciembre,
202401,2024,Enero,
202402,2024,Febrero,
202403,2024,Marzo,
202404,2024,Abril,
202405,2024,Mayo,
202406,2024,Junio,
202407,2024,Julio,
202408,2024,Agosto,
202409,2024,Septiembre,
202410,2024,Octubre,
202411,2024,Noviembre,
202412,2024,Diciembre,
202501,2025,Enero,
202502,2025,Febrero,
202503,2025,Marzo,
202504,2025,Abril,
202505,2025,Mayo,
202506,2025,Junio,
202507,2025,Julio,
